#: resource, total bytes
1: /shuttle/missions/sts-71/movies/sts-71-launch.mpg,4830851820
2: /shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg,4505833864
3: /shuttle/missions/sts-53/movies/sts-53-launch.mpg,3160325280
4: /shuttle/countdown/count70.gif,1959049585
5: /shuttle/technology/sts-newsref/stsref-toc.html,1256215694
6: /shuttle/countdown/video/livevideo2.gif,1169155568
7: /shuttle/countdown/count.gif,1154002480
8: /shuttle/countdown/video/livevideo.gif,1128333928
9: /shuttle/missions/sts-71/movies/sts-71-mir-dock.mpg,1095681435
10: /history/apollo/apollo-13/movies/apo13damage.mpg,967648747
